employee_id,employee_department,employee_position
1,Engineering Department,Design Engineer
2,R&D Department,Secretary
3,Marketing and Business Development,Secretary
4,Engineering Department,Test Engineer
5,Engineering Department,Secretary
6,R&D Department,Development Engineer (Hardware / Software / Mechanical)
7,Engineering Department,Design Engineer
8,Engineering Department,Test Engineer
9,Human Resources,Training Coordinator
10,Finance,Accountant
11,Engineering Department,Head of Engineering
12,R&D Department,Systems Engineer
13,Engineering Department,Test Engineer
14,Project Management,Project Manager
15,R&D Department,Head of R&D
16,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
17,Operations and Manufacturing,Manufacturing Engineer
18,Operations and Manufacturing,Logistics Manager
19,Operations and Manufacturing,Manufacturing Engineer
20,Engineering Department,Secretary
21,Operations and Manufacturing,Secretary
22,Engineering Department,Process Engineer
23,Operations and Manufacturing,Logistics Manager
24,Engineering Department,Test Engineer
25,Project Management,Project Manager
26,Finance,Accountant
27,R&D Department,Development Engineer (Hardware / Software / Mechanical)
28,Operations and Manufacturing,Manufacturing Engineer
29,Engineering Department,Secretary
30,R&D Department,Head of R&D
31,Legal and Regulation,Regulatory Affairs Officer
32,Engineering Department,Head of Engineering
33,Engineering Department,Secretary
34,Marketing and Business Development,Marketing Manager
35,Finance,Financial Analyst
36,Information Technology,IT Director
37,Human Resources,HR Manager
38,Engineering Department,Test Engineer
39,Information Technology,Information Security Specialist
40,R&D Department,Algorithm Engineer
41,Marketing and Business Development,Bid Coordinator
42,Operations and Manufacturing,Secretary
43,Engineering Department,Head of Engineering
44,Marketing and Business Development,Bid Coordinator
45,R&D Department,Development Engineer (Hardware / Software / Mechanical)
46,R&D Department,Secretary
47,Marketing and Business Development,Business Development Manager
48,Finance,Secretary
49,Information Technology,Secretary
50,Engineering Department,Head of Engineering
51,Operations and Manufacturing,Secretary
52,Operations and Manufacturing,Manufacturing Engineer
53,Engineering Department,Head of Engineering
54,R&D Department,Development Engineer (Hardware / Software / Mechanical)
55,Operations and Manufacturing,Warehouse Manager
56,Engineering Department,Process Engineer
57,Engineering Department,Systems Engineer
58,Engineering Department,Design Engineer
59,Operations and Manufacturing,Manufacturing Engineer
60,Engineering Department,Process Engineer
61,R&D Department,Secretary
62,Human Resources,Recruitment Coordinator
63,Operations and Manufacturing,Secretary
64,Operations and Manufacturing,Secretary
65,R&D Department,Systems Engineer
66,Operations and Manufacturing,Logistics Manager
67,Engineering Department,Secretary
68,R&D Department,Head of R&D
69,Human Resources,Secretary
70,Operations and Manufacturing,Logistics Manager
71,R&D Department,Development Engineer (Hardware / Software / Mechanical)
72,Human Resources,Recruitment Coordinator
73,R&D Department,Algorithm Engineer
74,Project Management,Project Engineer
75,Finance,Finance Manager
76,R&D Department,Head of R&D
77,Human Resources,Employee Welfare Coordinator
78,Security and Information Security,Security Officer
79,Finance,Financial Analyst
80,Engineering Department,Process Engineer
81,Finance,Financial Analyst
82,Operations and Manufacturing,Secretary
83,R&D Department,Secretary
84,R&D Department,Development Engineer (Hardware / Software / Mechanical)
85,Project Management,Project Coordinator
86,Operations and Manufacturing,Secretary
87,Information Technology,Information Security Specialist
88,Engineering Department,Head of Engineering
89,Operations and Manufacturing,Operations Manager
90,Project Management,Project Manager
91,R&D Department,Systems Engineer
92,R&D Department,Integration and Testing Engineer
93,Finance,Accountant
94,Engineering Department,Secretary
95,Project Management,Project Engineer
96,R&D Department,Secretary
97,Operations and Manufacturing,Secretary
98,R&D Department,Head of R&D
99,Engineering Department,Secretary
100,R&D Department,Systems Engineer
101,Information Technology,Secretary
102,Marketing and Business Development,Marketing Manager
103,R&D Department,Secretary
